,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,TLC,balanza_2005,balanza_2006,balanza_2007,balanza_2008,balanza_2009,balanza_2010,balanza_2011,balanza_2012,balanza_2013,balanza_2014,balanza_2015,balanza_2016,balanza_2017,balanza_2018,balanza_2019,balanza_2020,balanza_2021,balanza_2022,balanza_2023,balanza_2024,hdr_value
Ghana,4293249.80955829,1,1,1,1,0,1,0,6166197847.850311,7632723555.66221,8881417906.714323,10744568381.44561,20885037596.696342,24827339138.49064,28679383241.07291,26048720005.52326,32197655566.534706,39336668080.55898,41271701060.95403,62824629066.04083,54783319817.370514,49406010054.266335,56164929304.8754,60405924078.72783,67298914624.372314,68337969247.70674,70043099675.68001,79524421861.27426,74263364041.87419,76370396722.15402,0,81.902,78.819,127.969,179.055,137.502,191.313,297.671,252.329,313.775,182.253,212.812,185.453,205.633,188.789,147.694,188.687,260.766,171.956,151.725,133.688,145
Pakistan,2887887.629826,1,1,1,1,0,1,0,97923302809.35368,112371913740.82295,132216048339.41289,145208562960.76663,161871385506.3602,184140869997.46017,202203748583.8536,187337783856.46567,196709621849.58618,230586581059.6654,250106966104.70358,258657231672.41232,271390474857.63217,299963590534.7735,313630000130.43536,339205534861.1001,356128166704.921,320909472770.6687,300425609817.9812,348516647445.14844,374890295666.69366,337912301397.7272,0,346.285,332.228,187.28,208.555,347.681,381.21,81.112,71.177,296.916,368.112,505.792,545.319,689.542,638.053,413.741,847.749,1217511.0,712.348,661.093,686.24,164
Sierra Leone,1518460.3650751766,1,1,1,1,0,0,0,1933864034.1880028,2142618349.8109877,2237350963.2735205,2545275312.6051188,2912986118.074526,3326853435.5983176,3835603778.6159053,3784165906.1037025,4033122830.1442375,4587078913.133151,5927684219.152779,7697098118.199219,7845456215.2780695,6651626733.648542,6042615859.6107435,5818480351.637065,6390514688.528162,6523577590.383188,6688594757.621292,7165214367.649559,7119137321.900816,6411869546.2892885,0,1.761,2.327,4.678,5.289,5.08,5.11,28.364,8.964,6.761,937.0,-4.089,-10.57,-8.322,-10.079,-8.028,-9.397,-4.666,-5.105,64.089,5.668,184
Samoa,26360.796488522727,1,1,1,1,0,0,0,281790134.2119716,333426188.41876,407747565.09695876,476801793.15942883,499923757.78073615,573548459.8333715,641346191.6647757,628006115.4240516,680260907.1539834,744097050.1691153,773141661.1655476,797736334.2813052,796683519.593842,824150498.6535364,843924796.6974211,884844384.4632136,878448433.4043417,912950466.0649056,868898358.2664367,843923638.7330176,832945205.6371847,938189443.8303928,0,6.167,6.918,5.386,4.311,1.975,2.049,4.47,5.849,6.622,32.883,31.438,28.966,31.499,33.851,33.545,45.214,30.305,35.728,40.575,54.835,116
Uruguay,0.0586831875,1,0,1,1,0,0,0,13606515722.586388,12045638351.85074,13686329890.119078,17362857683.85447,19741420739.890133,23797773024.39923,31119602538.832172,32708319077.517914,41950361211.95806,50342406067.07767,54232266358.781075,61337621933.78566,61496186973.90199,57680327998.668884,57480788390.25813,65006039994.55998,65344576348.2279,62222325807.05779,53668636567.86667,60760798595.54362,70164683290.37762,77240830877.45967,0,31.05,24.203,30.964,56.087,19.688,126.819,142.107,85.75,265.724,182.73,109.168,19.061,431.0,-10.478,-13.045,-41.047,-3.139,-148.67,-12.467,-21.476,52
Lesotho,0.10995049999999999,1,1,1,1,0,0,0,775777238.5581402,1157825434.789707,1511236655.5204656,1682343527.492213,1800092563.754615,1682131784.5136483,1766902709.1993523,1740894964.8051126,2234754241.919178,2579409619.967217,2477702216.268875,2367112931.642001,2441063054.057919,2359686724.538286,2114426452.201897,2306741672.290062,2556247291.9978547,2390702295.827774,2053699870.0719147,2412130056.55851,2354683088.719949,2117962450.7946885,0,3.667,10.66,45.471,42.587,53.847,96.432,27.035,79.0,321.0,53.0,217.0,-24.0,379.0,73.0,-64.0,-27.0,1.614,217.0,1.651,-182.0,168
Kiribati,86978.21012642553,1,1,1,1,0,0,0,74743892.16060194,96105634.74743597,104085862.4353007,113895467.72086634,112338362.5343467,138054961.87761912,147017897.6801778,140177363.67176366,165458478.20612955,195970104.3566665,207001557.76713526,201730847.75864974,200287275.5596527,191559398.1752924,206467834.04514524,222875724.6539787,233514703.7102925,216985362.33817074,223123620.59751564,289339292.1573011,270841698.3693454,279208903.3376435,0,7.0,131.0,242.0,-88.0,-5.075,189.0,25.673,2.861,15.001,27.929,1.023,7.142,7.522,9.165,1.847,5.604,6.853,8.457,4.169,5.865,137
Equatorial Guinea,0.09585244,1,1,1,1,0,0,0,1806742742.2731116,2484745935.093289,4410764338.667325,8217369092.652238,10086528698.86043,13071718758.737305,19749893536.320362,15027795173.218706,16314443436.290295,21357343668.944725,22388344143.913067,21948834283.785564,21765453081.9826,13185496881.017399,11240808847.887815,12200913878.982721,13097012133.615946,11364133549.747766,9893816007.7398,12215878032.716585,13687643435.624903,12337550583.753971,0,450.0,88.838,933.0,-821.899,-684.856,-744.311,-525.056,-297.248,-97.9,-164.566,-1051382.0,-604.566,-505.238,-265.36,-155.761,-141.742,-350.792,-453.408,-243.324,-181.904,133
Tunisia,715986.3146220142,1,1,1,1,0,0,0,23141616604.524197,27453902261.462925,31183885241.439552,32272186694.80428,34376664600.589775,38915353866.75699,44859439902.21906,43455740497.30611,46206091937.96283,48123325825.07389,47311401812.67335,48685446413.95297,50271812920.612015,45779494041.92953,44360072680.44765,42163530590.9462,42686504459.800964,41905642418.825035,42491780918.36103,46812290143.34397,44579761022.899284,48529595416.65326,0,70.219,65.402,76.291,78.462,107.921,309.904,142.952,354.47,-77.156,85.993,133.467,98.986,81.593,93.61,124.95,69.151,110.666,-207.061,-322.295,17.936,101
Angola,3885600.785604038,1,1,1,1,0,0,0,15285592370.373981,17812704586.43969,23552057679.499435,36970900883.810905,52381025141.42681,65266415494.25839,88538665084.86345,70307196181.65387,83799474069.73146,111789747670.5905,128052915766.34274,132339109040.23174,135966802586.7132,90496420506.59566,52761617225.925285,73690154990.73123,79450688259.36636,70897962732.02774,48501561203.568634,66505129987.72355,104399746853.40141,84824654481.72493,0,1516713.0,818.417,-168.918,1265544.0,207.169,43.685,215.458,275.331,1102888.0,1650113.0,1716205.0,375.541,140.976,-4.077,220.097,-70.947,54.108,117.846,474.75,709.492,150
Colombia,4688858.414438609,1,1,1,1,1,1,1,97945812802.88817,94644969157.0987,117092416666.24509,145600529605.80283,161792958904.86447,206229540926.31174,242504150472.93127,232468663109.59467,286498534094.96326,334966134804.887,370691143018.0392,382093697077.68494,381240864422.4066,293492370193.1661,282720100286.22815,311866875156.8792,334198218098.27594,323031701192.83997,270348342541.4654,318524633225.39514,345329875078.5117,363493841244.3033,1,486.806,707.367,1004348.0,947.33,672.111,956.414,1233970.0,1052931.0,1135616.0,900.676,807.349,420.608,165.625,177.697,424.885,-85.641,194.653,125.005,-294.23,-531.335,91
Guinea-Bissau,0.11034172222222222,0,0,1,1,0,0,0,466773711.2355795,553614800.1457071,582169841.2983041,639776040.6884242,634781901.2514939,753162998.0151126,952667544.0372885,890167833.3698492,940112538.9364358,1157074319.193877,1049412177.1141346,1109682824.1359422,1135250721.037397,1152384166.796375,1245074264.1039608,1469978606.1214306,1554133593.9169855,1588638853.5932844,1646400349.8486729,1853796455.8948882,1796608530.8226736,2048348108.3585193,0,-1.416,-1.03,-984.0,253.0,873.0,560.0,759.0,62.0,155.0,-105.0,37.0,-1.256,-1.338,-1.881,-2.051,-2.041,-1.981,726.0,-1.52,-205.0,179
Bangladesh,15076827.702897124,1,1,1,1,0,1,0,54724081490.510185,60158929188.255615,65108544250.04247,69476001239.419,71795736172.15605,79611644974.55707,91636997370.97716,102475158190.99796,115275540051.26195,128607482310.35696,133310747603.48254,149998957434.18637,172886611653.7858,195146608978.1311,265224515675.03375,293732446624.5958,321362752441.78033,351231654603.69226,373979442362.1933,416271647911.01416,460131688909.3012,437415331040.9943,0,565.642,579.422,469.703,925.982,941.904,1415016.0,1383415.0,1163842.0,1095143.0,890.919,872.338,865.31,992.235,891.845,877.154,640.672,1084288.0,1679686.0,977.116,615.272,129
Uzbekistan,6224925.3190882085,1,1,1,1,0,1,0,9687788512.801842,10134453435.46029,12030023547.88069,14307509838.805326,17330833852.918976,22311393927.88172,29549438883.83379,33689223673.257736,49765676402.449455,60178909297.20801,67517349212.06092,73180037914.91043,80845385809.45294,86196264755.31053,86138288644.17099,69703222282.72784,58695899092.10833,67293639798.39958,66443265418.30865,77340060003.0347,90095926567.4359,101591769702.34315,0,464.267,609.215,644.412,859.658,1102373.0,1416665.0,1678936.0,1724154.0,1915151.0,2005358.0,1268109.0,909.691,1162278.0,2095917.0,2318764.0,1686148.0,1857070.0,2155607.0,2279573.0,1704356.0,106
Honduras,2101841.1257640626,1,1,1,1,0,0,0,7858255412.860379,8230391346.672281,8869299234.337696,9757012696.562117,10917477066.142908,12361257680.562687,13881731875.746613,14587496229.18111,15839344591.984165,17710275685.407448,18528554397.56951,18499729214.904022,19756533971.869846,20979791685.416042,21717604952.183525,23136247990.597725,24067750760.49897,24882225741.811867,23352232483.75501,28144331506.614887,31426041806.798485,34400509852.04365,1,97.333,115.72,72.451,94.207,49.505,35.771,-4.577,72.344,69.881,63.849,62.009,69.563,83.998,65.512,62.596,36.904,53.827,22.994,91.67,107.172,138
Uganda,2941594.35681947,1,1,1,1,0,1,0,6178563591.120514,6606884275.23087,7939487547.773837,9239221763.057926,9977647682.969542,11902564494.883343,14440404132.204687,25127805566.658375,26673441430.785694,27871725241.4723,27305915910.78771,28915786516.61233,32612397257.44579,32387183730.10015,29203988696.262615,30744473841.42399,32927025619.679546,35348155095.421455,37600368241.66573,40529788748.67369,45565333210.91079,48768955863.31749,0,3.704,6.944,7.623,3.92,11.411,12.894,15.157,2.526,8.452,-5.435,6.712,9.575,7.013,12.636,12.756,20.115,27.968,13.716,9.804,21.664,159
Azerbaijan,1928901.5398288383,1,1,1,1,0,0,0,6236087738.282841,7276413079.114511,8680405740.941248,13245421880.834042,20981929497.618767,33049419431.224392,48851293785.44826,44292427184.94917,52909294791.92624,65952796427.94731,69679944504.19719,74160560123.69016,75239785452.10219,53076235354.74602,37866996882.915695,40866627351.98167,47112470051.77007,48174235294.117645,42693000000.0,54825411764.70589,78807470588.2353,72356176470.58824,0,32.137,47.344,-185.341,242.325,140.522,184.01,216.679,281.98,305.068,269.088,119.461,117.981,52.425,66.58,76.867,68.946,106.563,183.865,240.866,201.195,89
Barbados,0.034682,0,0,1,1,0,0,0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0,5330761500.0,5517340450.0,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,6720733200.0,0,9.964,11.989,10.57,7.868,7.459,10.237,9.183,11.516,10.499,13.919,8.164,11.107,8.008,8.623,9.0,3.842,5.953,6.281,5.332,10.051,62
Comoros,98544.54952066667,1,0,1,1,0,0,0,425964681.04437846,546885222.7130651,633706110.7956145,653845169.1685765,698431793.8727758,795673152.8670766,915659107.9658227,905341172.7058296,907978730.8878443,1023086273.5333631,1015843490.8237381,1116224106.8372765,1149587661.0069265,966029600.8622274,1012835493.193246,1077439756.594511,1188797449.3858447,1195019531.9010963,1225039196.6109135,1296089479.9197786,1242519407.7760253,1352380971.2405515,0,33.0,27.0,35.0,127.0,116.0,309.0,548.0,26.0,433.0,20.0,-481.0,-2.079,-825.0,59.0,220.0,329.0,618.0,287.0,67.0,1.649,152
South Africa,0.1450167,1,1,1,1,0,0,1,129087556612.44882,197018965308.69696,255806908594.57254,288867217196.534,303858675363.64276,333077117253.6838,316131258616.309,329754060647.12897,417363822801.71265,458199494830.83356,434400545085.8111,400886013595.5732,381198869776.10565,346709790458.56305,323585509674.4806,381448814653.4564,405260723892.51685,389330032224.2691,337974655408.0553,420886877628.7027,406920004594.0741,380699271814.50824,0,225.234,409.176,-13.725,-762.06,-89.716,-603.742,-850.679,59.399,967.73,-148.759,-155.216,-380.694,-1336005.0,-1336160.0,-1352730.0,-1026273.0,-1636017.0,-2624803.0,-2605586.0,-1922465.0,110
Palau,0.08733634285714285,1,1,1,1,0,0,0,162665500.0,154559900.0,166391600.0,191048400.0,193679700.0,200903600.0,201167300.0,189998000.0,188174300.0,198873900.0,215762400.0,225345718.75,243156484.375,278824781.25,298323500.0,285600000.0,288546281.25,281941562.5,258990843.75,235752906.25,255591062.5,281849062.5,0,2.707,2.111,1.42,1.953,1.449,1.554,2.052,2.564,2.891,13.867,9.132,10.79,7.925,15.393,15.703,4.774,12.817,19.673,13.312,16.539,71
Rwanda,3191008.217965761,1,1,1,1,0,1,0,1966003468.4911726,2138237278.7382245,2376496067.0119786,2933819766.176559,3319784538.7334623,4070507894.6165586,5179854064.570328,5674476969.064441,6124756654.123457,6884913658.106317,7654761573.549911,7819963715.7535305,8238966063.866919,8543759677.581573,8695272300.910192,9252834336.494923,9637904655.174456,10349300380.330027,10174387374.347754,11069280649.645851,13316160895.044718,14097768472.18828,0,1.827,1.288,1.265,8.904,28.594,15.209,10.122,2.859,12.595,18.003,16.422,18.6,69.89,8.259,9.901,14.128,29.183,13.66,12.604,82.94,161
Botswana,47913.922065136365,1,0,1,1,0,0,0,5438863982.886922,7511582173.377239,8957467706.535404,9918907108.097015,9919158482.410852,10567270655.502705,10730829116.410507,10118459242.318321,12637273429.133932,15110643612.17291,13907464500.148876,14271738933.204172,15470088500.74136,13530748844.504961,15082637184.04962,16105155856.770824,17031943186.13526,16725908148.548136,14960291105.931597,18750946600.142254,20321958850.03632,19396084498.008404,0,4.093,3.328,1.775,5.648,3.248,8.533,8.181,5.679,5.339,-11.736,-14.347,33.163,9.334,10.38,3.848,10.045,9.959,3.476,3.222,1.96,114
Suriname,0.11390858823529412,1,1,1,1,0,0,0,1093574468.0851064,1274190311.4186852,1484092538.405267,1793410397.387383,2626380435.178773,2936612021.8579235,3532969034.608379,3875409836.0655737,4368370997.921263,4422276621.787026,4980000000.0,5145757575.757576,5240606060.606061,5126237646.220717,3317421648.0991807,3591679430.999881,3996198866.574535,4016040575.0879593,2911807496.2022653,3107923197.9695435,3791603200.025902,3455146280.839754,0,5.247,6.453,8.348,13.701,8.774,12.451,18.456,26.204,17.472,8.59,5.982,2.54,4.379,4.978,12.004,-4.057,2.898,2.373,-2.081,-2.52,124
Papua New Guinea,171051.14286314516,1,1,1,1,0,0,0,2999511040.197643,3536411824.2958045,3927157866.9646463,4865892972.275951,8354911040.701925,9545028944.345787,11670892800.530945,11619456449.265974,14250786674.776615,17985138065.854904,21295168665.724728,21261338064.878304,23210823987.30796,21723437010.098206,20758876952.623165,22742699138.356014,24109780708.02678,24750626040.59166,23848447849.746708,26109413522.308064,31647277767.397648,30729242919.441082,0,-55.071,-78.526,-118.88,-197.378,-179.135,-118.287,-228.412,-90.304,-168.927,85.491,-115.766,-53.772,-153.886,-267.92,-335.119,-482.177,-614.091,-1542233.0,-850.177,-913.556,154
Eritrea,0.030365222222222224,1,1,0,1,0,0,0,729321680.1543237,870248267.550163,1109054005.43971,1098424685.6616938,1211161879.6747968,1317974491.0569105,1380188800.0,1856695551.2195122,1589515447.1544716,2065001626.0162601,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,1322758643.3927844,0,833.0,1.499,4.782,2.612,11.798,14.525,5.39,5.41,-8.629,-1.695,-5.536,-5.622,-82.806,-55.043,-115.601,-50.277,-100.949,-83.466,-40.846,-95.776,175
Cuba,84716.61129126923,1,1,1,1,0,0,0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925925.92593,54262870370.37037,56302129629.62962,57481481481.481476,59562962962.96296,68990000000.0,73141000000.0,77148000000.0,80656100000.0,87132800000.0,91370407863.70001,96850649691.7406,100050036096.123,103427600000.0,107351800000.0,69100121059.04916,69100121059.04916,69100121059.04916,0,0.0,200.015,211.314,340.369,39.921,53.983,44.211,72.031,48.017,43.594,45.864,36.413,67.816,52.508,37.63,11.411,17.225,6.724,28.856,12.271,85
Trinidad and Tobago,0.046780249999999995,1,0,0,1,0,0,0,9008298228.602732,11305459802.068275,13280291989.575474,15982389018.404148,18369361094.388645,21641620049.93521,27871587349.541267,19172165225.50151,22157920592.366913,25433007437.160465,27334568806.192234,28709859468.859684,29697674913.540836,27026750552.964653,23722678429.807793,24040211327.489758,24569257295.091785,23775659262.57346,20807716174.054626,24496397204.717594,30053446092.012753,27372285697.947723,0,35.701,20.95,-116.974,-375.11,-364.734,-219.586,-821.238,-503.454,-310.872,-63.921,-10.91,-34.516,-80.287,-211.465,-157.627,-67.791,-287.578,-262.938,-135.367,-91.885,60
Guyana,0.20116466666666666,1,0,1,1,0,0,0,726131434.7153385,743063950.317749,787814379.1838433,824880550.3439649,2379817990.6917953,2730971595.395737,3025187433.3363686,3165663152.7335134,3432912516.9242687,3691384317.521781,4063088535.7633057,4167800928.83553,4127660151.808702,4279840193.7046003,4482697336.561744,4748174334.140436,4787636997.853427,5173760191.846522,5471256594.72422,8041363893.045564,14718387016.786572,17159509565.467627,0,1.022,4.468,5.253,6.6,39.822,78.618,59.235,25.04,26.036,21.55,14.462,21.89,14.711,22.521,12.243,18.432,24.87,26.684,33.845,35.89,95
Paraguay,3399458.633818071,1,1,1,1,0,1,0,7196260656.845559,7691367471.179918,9624440836.293095,10737500188.112309,13429430050.260954,17856393235.433792,24615267663.54557,22355151161.99399,27260886405.226337,33756238766.500004,33271921136.314976,38501122141.424126,40377929295.64187,36211447840.09714,36089700222.946144,38997129473.55579,40225448340.632164,37925338329.149445,35432178068.18139,39950899938.74815,41952910858.08456,42956263543.948166,0,47.095,62.611,62.799,91.11,49.94,126.77,147.183,54.557,128.771,151.642,205.065,20.067,47.094,105.564,31.874,3.633,64.257,42.172,-25.95,40.178,102
Timor-Leste,1441884.0427360146,1,1,1,1,0,0,0,469455500.0,490439100.0,440772000.0,462268000.0,453792400.0,542795400.0,648523600.0,726937800.0,881909300.0,1042534600.0,1160555000.0,1395727400.0,1447535200.0,1590282400.0,1640464600.0,1584878400.0,1555988600.0,2032550400.0,2162619200.0,3624889700.0,3208594000.0,2079916900.0000002,0,-25.786,1.216,617.0,2.428,-32.599,1.269,-31.486,-104.523,-171.86,-83.114,8.445,6.661,4.52,2.576,2.674,-25.301,1.61,-65.1,2.283,2.635,155
Niger,48706.21572376,1,0,1,1,0,0,0,2782192878.6720395,3394084732.495433,3760443737.5379744,4383315964.587175,4756361252.379227,5731485051.790689,7297600226.005361,7352131309.733413,7851192502.309172,8772950777.791763,9426912647.591106,10224897437.864824,10862943543.541925,9683867926.442823,10398861981.758308,11185104251.69431,12837307496.882084,12889555561.22991,13744653103.057987,14915002436.069025,15433852712.296335,16819170420.565317,0,1.596,5.016,-2.007,6.44,6.928,1.996,-8.688,9.114,-100.684,3.075,2.04,-91.38,-61.195,5.194,-1.519,2.06,-42.344,8.297,-71.046,4.667,189
Kazakhstan,515435.2412710968,1,1,1,1,0,0,0,24636598527.443718,30833692900.109074,43151647002.60963,57123671733.89525,81003864630.01804,104849915058.37578,133441648851.9825,115308686941.38017,148047348240.64334,192626464617.07117,207998568865.78925,236634603409.08856,221415613595.46927,184388404706.04178,137278320084.17114,166805788827.23325,179339977690.48486,181667184854.50052,171082365861.4229,197112255360.61234,225496328925.4941,262641892078.5242,0,30.953,47.933,289.211,-2.721,141.584,270.456,381.083,577.188,825.741,345.377,149.578,78.939,-467.558,-564.249,1095647.0,907.57,-1672931.0,-3214373.0,-1599719.0,1085700.0,67
Antigua and Barbuda,0.0820005,1,1,0,1,0,0,0,897988888.8888888,947955555.5555555,1026181481.4814814,1143714814.8148148,1303548148.148148,1487300000.0,1557540740.7407405,1386444444.4444444,1298255555.5555556,1281337037.037037,1327107407.4074073,1325425925.9259257,1378829629.6296296,1437755555.5555553,1489692592.5925925,1531151851.8518515,1661529629.6296296,1725351851.8518517,1410796296.2962961,1601366666.6666665,1867733333.3333333,2033085185.185185,0,4.163,5.87,4.223,82.152,-6.149,17.295,-643.0,19.473,35.61,6.776,27.503,2.978,1.755,-2.279,-297.0,1.89,1.624,2.562,3.71,5.652,54
Mauritius,0.06724533333333334,1,0,1,1,0,0,0,4906494249.382551,5894873919.74797,6667418752.073067,6576108447.475309,7028810680.890765,8150150209.22501,9990356673.734972,9128843109.155876,10003670690.349657,11518413429.968351,11668696396.788656,12292974141.40443,13074129952.053152,12007291045.648907,12594155464.413633,13713506130.608124,14735695930.972702,14436346979.63554,11408106446.31438,11484348857.85287,12927979286.045298,14644524819.005362,0,20.98,26.98,33.031,40.457,26.829,14.34,50.165,52.485,40.555,44.53,33.169,24.114,26.786,46.781,38.099,25.302,27.499,37.168,41.561,51.187,72
Indonesia,9115239.886160208,1,1,1,1,0,1,0,195660611165.18344,234772463823.80835,256836875295.4519,285868619196.0848,364570515618.35803,432216737774.86053,510228634992.2551,539580085612.4014,755094157594.5243,892969104529.572,917869913364.9175,912524136718.0182,890814755511.0135,860854232717.7178,931877364034.1964,1015618744168.083,1042271532953.4915,1119099871385.795,1059054842711.5549,1186509691070.9749,1319076267291.5083,1371171152331.155,1,-3138852.0,-3976242.0,-3343225.0,-3386674.0,-3264255.0,-5088549.0,-3651876.0,-1721242.0,-1614363.0,-854.053,-977.321,-1677603.0,-1160558.0,-2291487.0,-1165783.0,-1277196.0,-2175144.0,-5518951.0,-3005662.0,-4624983.0,112
Togo,63774.83535264516,1,1,1,1,0,0,0,2410199032.4310193,2987984050.9931836,3191561508.690881,3221910408.4651566,3320907721.745081,3759964943.3807755,4578849657.998125,4721890900.226346,4746389531.695903,5422442166.441457,5413544658.415346,6021732977.265842,6393318261.827121,5755461035.380258,6071170959.120933,6387422517.692251,7029300383.080308,6992700101.371879,7400284167.784795,8342243645.944384,8169476148.956921,9171261837.57103,0,17.413,15.669,20.54,23.352,9.845,26.33,29.597,35.744,12.752,-5.23,142.531,309.013,1011828.0,1016708.0,1252772.0,763.733,433.353,2293943.0,975.432,141.727,163
Bosnia and Herzegovina,3975133.5496340003,1,1,1,1,0,0,0,6728220886.645462,8498894359.386289,10156541538.39903,11222796336.542631,12864841905.954311,15778734264.37873,19112796623.117504,17613949091.229362,17176315803.729837,18644233537.109337,17226735995.690475,18179108530.526096,18558733564.4692,16404348871.443703,17116926327.624695,18326373366.110527,20484053868.92458,20482608755.378956,20226036564.412888,23672712242.214893,24534663636.17784,27514782476.040558,0,7.116,12.964,20.592,17.032,7.915,18.039,12.688,5.993,9.881,10.972,-3.562,-8.85,-17.788,-18.538,-20.146,-13.468,-20.117,-37.135,-30.823,-20.276,80
Zambia,64622.984388584904,1,1,1,1,0,0,0,4193850445.4263234,4901869764.059568,6221110219.455416,8331870169.149771,12756858899.281174,14056957976.264833,17910858637.904797,15328342303.957512,20265559483.854828,23459515275.577595,25503060420.026028,28037239462.71422,27141023558.08286,21251216798.776245,20958412538.309345,25873601260.835304,26311507273.67354,23308667781.225754,18137764930.65097,22096416932.008896,29163782140.485832,27577956471.243988,0,-239.211,-424.97,-589.724,-287.092,-346.274,-363.559,-475.36,-306.118,-237.446,-341.532,-315.96,-273.884,-164.972,-81.688,-38.507,2.372,-72.215,-68.13,-38.408,-3.445,153
Liberia,78246.70685467648,1,1,1,1,0,0,0,927000000.0,748000000.0,897000000.0,949000000.0,1119000000.0,1373000000.0,1726000000.0,1768000000.0,1998000000.0,2398000000.0,2791614000.0,3177198100.0,3225652000.0,3227075700.0,3398419600.0,3390703400.0,3422754800.0,3319596500.0,3176126300.0,3513049500.0,4001047000.0,4240000000.0,0,1979452.0,3153139.0,2510427.0,2779925.0,4883838.0,5401248.0,7388070.0,3802470.0,3506557.0,2967392.0,1301250.0,3641793.0,1296027.0,1388911.0,1693810.0,2126952.0,1983897.0,4162314.0,4027230.0,5170965.0,177
